Month,Cost Center,Company,Depreciations Amortizations,Taxes,Operating Costs / COGS,Operating Expenses,Sales,Current Assets,Current Liabilities,Assets,Liabilities
6/30/2020 12:00:00 AM,,Everest Group,0,0,0,0,0,1938690.83675072,1308187.4009048,143232945.1838,8248344.268
1/28/2021 12:00:00 AM,,Everest Group,0,0,0,0,0,1938690.83675072,986501.974452801,143232945.1838,7918410.49728
5/30/2021 12:00:00 AM,,Everest Group,0,0,0,0,0,1629872.8273568,900719.1940656,143232945.1838,8000893.93996
6/30/2021 12:00:00 AM,,Everest Group,0,0,0,0,0,1955847.39282816,1190236.0778724,143232945.1838,8578278.03872
12/28/2018 12:00:00 AM,,Everest Group,0,0,0,0,0,1698499.05166656,1233127.468066,141830726.65824,8165860.82532
8/28/2021 12:00:00 AM,,Everest Group,0,0,0,0,0,1732812.16382144,1318910.2484532,141830726.65824,8495794.59604
10/28/2021 12:00:00 AM,,Everest Group,0,0,0,0,0,1870064.61244096,954333.431807601,140428508.13268,8413311.15336
12/28/2021 12:00:00 AM,,Everest Group,0,0,0,0,0,1629872.8273568,1200958.9254208,140428508.13268,7835927.0546
6/30/2018 12:00:00 AM,,Everest Group,0,0,0,0,0,1887221.1685184,1083007.6023884,139026289.60712,8578278.03872
2/29/2020 12:00:00 AM,,Everest Group,0,0,0,0,0,1904377.72459584,943610.5842592,139026289.60712,7918410.49728
3/30/2020 12:00:00 AM,,Everest Group,0,0,0,0,0,1612716.27127936,1179513.230324,139026289.60712,8413311.15336
11/28/2020 12:00:00 AM,,Everest Group,0,0,0,0,0,1647029.38343424,1190236.0778724,139026289.60712,8413311.15336
7/31/2021 12:00:00 AM,,Everest Group,0,0,0,0,0,1873003.9489056,1007947.6695496,139026289.60712,8000893.93996
1/28/2022 12:00:00 AM,,Everest Group,0,0,0,0,0,1887221.1685184,1329633.0960016,139026289.60712,8165860.82532
3/30/2022 12:00:00 AM,,Everest Group,0,0,0,0,0,1698499.05166656,1179513.230324,139026289.60712,8413311.15336
9/28/2017 12:00:00 AM,,Everest Group,0,0,0,0,0,1887221.1685184,954333.431807601,137624071.08156,8578278.03872
10/28/2017 12:00:00 AM,,Everest Group,0,0,0,0,0,1795559.71520192,975779.126904401,137624071.08156,8495794.59604
11/28/2017 12:00:00 AM,,Everest Group,0,0,0,0,0,1838690.83675072,1340355.94355,137624071.08156,8578278.03872
3/30/2018 12:00:00 AM,,Everest Group,0,0,0,0,0,1738690.83675072,1243850.3156144,137624071.08156,8578278.03872
4/30/2018 12:00:00 AM,,Everest Group,0,0,0,0,0,1735751.50028608,943610.5842592,137624071.08156,8495794.59604
8/28/2018 12:00:00 AM,,Everest Group,0,0,0,0,0,1629872.8273568,1018670.517098,137624071.08156,8165860.82532
11/28/2018 12:00:00 AM,,Everest Group,0,0,0,0,0,1595559.71520192,1308187.4009048,137624071.08156,8660761.4814
4/30/2019 12:00:00 AM,,Everest Group,0,0,0,0,0,1818594.94420864,1104453.2974852,137624071.08156,8578278.03872
5/30/2022 12:00:00 AM,,Everest Group,0,0,0,0,0,1955847.39282816,1136621.8401304,137624071.08156,8660761.4814
7/31/2017 12:00:00 AM,,Everest Group,0,0,0,0,0,1718594.94420864,1136621.8401304,136428508.13268,8000893.93996
5/30/2018 12:00:00 AM,,Everest Group,0,0,0,0,0,1818594.94420864,1083007.6023884,136221852.556,8083377.38264
9/28/2018 12:00:00 AM,,Everest Group,0,0,0,0,0,1595559.71520192,1297464.5533564,136221852.556,8413311.15336
10/29/2019 12:00:00 AM,,Everest Group,0,0,0,0,0,1818594.94420864,997224.822001201,136221852.556,8083377.38264
11/29/2019 12:00:00 AM,,Everest Group,0,0,0,0,0,1938690.83675072,1222404.6205176,136221852.556,8330827.71068
1/29/2020 12:00:00 AM,,Everest Group,0,0,0,0,0,1715655.607744,1093730.4499368,136221852.556,8248344.268
8/28/2017 12:00:00 AM,,Everest Group,0,0,0,0,0,1784281.83205376,1007947.6695496,134819634.03044,8330827.71068
7/31/2018 12:00:00 AM,,Everest Group,0,0,0,0,0,1612716.27127936,975779.126904401,134819634.03044,8083377.38264
12/29/2019 12:00:00 AM,,Everest Group,0,0,0,0,0,1767125.27597632,1297464.5533564,134819634.03044,8495794.59604
5/30/2020 12:00:00 AM,,Everest Group,0,0,0,0,0,1729872.8273568,1297464.5533564,134819634.03044,8578278.03872
9/28/2020 12:00:00 AM,,Everest Group,0,0,0,0,0,1612716.27127936,1265296.0107112,134819634.03044,8000893.93996
10/28/2020 12:00:00 AM,,Everest Group,0,0,0,0,0,1887221.1685184,1297464.5533564,134819634.03044,8330827.71068
6/30/2022 12:00:00 AM,,Everest Group,0,0,0,0,0,1732812.16382144,900719.1940656,134819634.03044,8495794.59604
1/28/2018 12:00:00 AM,,Everest Group,0,0,0,0,0,1822908.05636352,1147344.6876788,133417415.50488,8578278.03872
9/29/2019 12:00:00 AM,,Everest Group,0,0,0,0,0,1715655.607744,1125898.992582,133417415.50488,8000893.93996
12/28/2020 12:00:00 AM,,Everest Group,0,0,0,0,0,1818594.94420864,900719.1940656,133417415.50488,8495794.59604
